comment,label
You sound horrible,toxic
Legend!,support
Can't believe people like this,toxic
Keep up the great work,support
Worst video ever,toxic
Legend!,support
This is trash,toxic
So clear and helpful,support
You're such a loser,toxic
Thanks for the content!,support
Can't believe people like this,toxic
So clear and helpful,support
You're so dumb,toxic
You're amazing!,support
Stop making content,toxic
Awesome explanation,support
Cringe content,toxic
So clear and helpful,support
This is trash,toxic
So clear and helpful,support
You're such a loser,toxic
I learned a lot!,support
Waste of time,toxic
So clear and helpful,support
Stop making content,toxic
So clear and helpful,support
Can't believe people like this,toxic
Legend!,support
Clickbait title,toxic
Legend!,support
You're such a loser,toxic
Awesome explanation,support
You're so dumb,toxic
Best tutorial I've seen,support
You sound horrible,toxic
Awesome explanation,support
Worst video ever,toxic
This helped me a lot!,support
Stop making content,toxic
Legend!,support
This is trash,toxic
Much appreciated!,support
You're such a loser,toxic
Keep up the great work,support
You're such a loser,toxic
Legend!,support
You're such a loser,toxic
Thanks for the content!,support
Clickbait title,toxic
You're amazing!,support
Waste of time,toxic
Much appreciated!,support
Clickbait title,toxic
This helped me a lot!,support
Worst video ever,toxic
Best tutorial I've seen,support
Cringe content,toxic
Thanks for the content!,support
Cringe content,toxic
This helped me a lot!,support
Waste of time,toxic
So clear and helpful,support
You're such a loser,toxic
Much appreciated!,support
Stop making content,toxic
I learned a lot!,support
You're so dumb,toxic
This helped me a lot!,support
Clickbait title,toxic
Awesome explanation,support
Can't believe people like this,toxic
This helped me a lot!,support
Stop making content,toxic
Thanks for the content!,support
Worst video ever,toxic
I learned a lot!,support
Worst video ever,toxic
Thanks for the content!,support
Waste of time,toxic
This helped me a lot!,support
Clickbait title,toxic
So clear and helpful,support
You're so dumb,toxic
Awesome explanation,support
Worst video ever,toxic
Awesome explanation,support
Can't believe people like this,toxic
Much appreciated!,support
You're such a loser,toxic
Much appreciated!,support
You sound horrible,toxic
Legend!,support
Worst video ever,toxic
Much appreciated!,support
Worst video ever,toxic
This helped me a lot!,support
You sound horrible,toxic
So clear and helpful,support
Clickbait title,toxic
Awesome explanation,support
